id,kvkid,latitude,Ulatitude,longitude1,statename,zone,district,kvkname,address,address_og,yearsetup_chk,exposure,vulnerability,historicalhazard,futurehazard,risk,kvktype,longitude,Ulongitude,idmaster,location,Ulocation,match,idusing,lat,v3,_merge
6,407,.,,,Nagaland,ICAR-Agricultural Technology Application Research Institute(Zone VII:earlier Zone III),Medziphema,Krishi Vigyan Kendra Medziphema,"Krishi Vigyan Kendra,      Pfutsero,      Distt. Medziphema-797 106","Krishi Vigyan Kendra,      Pfutsero,      Distt. Medziphema-797 106",2002,,,,,,ICAR,.,,650,Medziphema,,,,,,1
73,204,.,,,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Badaun,Krishi Vigyan Kendra Bahraich,"Krishi Vigyan KendraDistt. Badaun, Uttar Pradesh.","Krishi Vigyan KendraDistt. Badaun, Uttar Pradesh.",2018,68,459,172,434,277,SAU,.,,189,Badaun,,,,,,1
30,678,.,,,Karnataka,ICAR-Agricultural Technology Application Research Institute(Zone XI: earlier Zone VIII),Gulbarga,Krishi Vigyan Kendra Gulbarga(SAU),"Krishi Vigyan Kendra,       Village-  Raddewadgi, Taluk-Jewargi,Distt.-  Gulbarga","Krishi Vigyan Kendra,       Village-  Raddewadgi, Taluk-Jewargi,Distt.-  Gulbarga",2011,260,87,435,418,270,SAU,.,,499,Gulbarga 2,,,,,,1
51,574,.,,,Madhya Pradesh,ICAR-Agricultural Technology Application Research Institute(Zone IX:earlier Zone VII),Singrauli,Krishi Vigyan Kendra  Singrauli,"Krishi Vigyan Kendra,Village Deora, ,Distt. Singrauli, Madhya Pradesh.","Krishi Vigyan Kendra,Village Deora, ,Distt. Singrauli, Madhya Pradesh.",2017,,,,,,SAU,.,,666,Singrauli,,,,,,1
7,655,.,,,Karnataka,ICAR-Agricultural Technology Application Research Institute(Zone XI: earlier Zone VIII),Gulbarga,Krishi Vigyan Kendra Gulbarga - A (SAU),"Krishi      Vigyan Kendra,      Agricultural Research Station,      Aland Road,    Distt. Gulbarga-585101","Krishi      Vigyan Kendra,      Agricultural Research Station,      Aland Road,    Distt. Gulbarga-585101",2004,260,87,435,418,270,SAU,.,,498,Gulbarga 1,,,,,,1
1,633,19.648785,19.64878,78.518951,Telangana,ICAR-Agricultural Technology Application Research Institute(Zone X : earlier Zone V),Adilabad,Krishi Vigyan Kendra Adilabad,"Krishi Vigyan KendraRamnagar, Adilabad -504001","Krishi Vigyan KendraRamnagar, Adilabad -504001",2000,447,192,421,103,250,SAU,78.51895,78.51895,466,Adilabad,Adilabad,1,143,19.648785,78.518951,3
50,573,23.710348,23.6733,76.010178,Madhya Pradesh,ICAR-Agricultural Technology Application Research Institute(Zone IX:earlier Zone VII),Agar Malwa,Krishi Vigyan Kendra Malwa,"Krishi Vigyan Kendra,Vill.Jagpura,Distt. Agar Malwa","Krishi Vigyan Kendra,Vill.Jagpura,Distt. Agar Malwa",2017,,,,,,SAU,76.01018,75.9934,689,Agar Malwa,Agar Malwa,1,308,23.6733,75.993401,3
36,168,27.175148,27.17515,77.894139,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Agra,Krishi Vigyan Kendra Agra,"Krishi Vigyan Kendra,R.B.S. College, Bichpuri,Distt. Agra-283105","Krishi Vigyan Kendra,R.B.S. College, Bichpuri,Distt. Agra-283105",2002,111,503,100,172,169,OEI,77.89414,77.89414,115,Agra,Agra,1,536,27.175148,77.894142,3
31,450,19.606944,19.60694,74.507322,Maharashtra,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Ahmednagar,Krishi Vigyan Kendra Ahmednagar,"Krishi Vigyan Kendra,PO Babhleshwar,Tal. Rahata.Distt. Ahmednagar-413 737","Krishi Vigyan Kendra,PO Babhleshwar,Tal. Rahata.Distt. Ahmednagar-413 737",1992,127,144,113,531,178,NGO,74.50732,74.50732,135,Ahmednagar,Ahmadnagar 1,.99329472,141,19.606943,74.507324,3
31,450,19.606944,19.60694,74.507322,Maharashtra,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Ahmednagar,Krishi Vigyan Kendra Ahmednagar,"Krishi Vigyan Kendra,PO Babhleshwar,Tal. Rahata.Distt. Ahmednagar-413 737","Krishi Vigyan Kendra,PO Babhleshwar,Tal. Rahata.Distt. Ahmednagar-413 737",1992,127,144,113,531,178,NGO,74.50732,74.50732,135,Ahmednagar,Ahmadnagar 2,.99329472,142,19.606943,74.507324,3
